Comment,Designator,Footprint,LCSC,Quantity
1.5k,R8,R_0402_1005Metric,C25867,1
100,R6,R_0402_1005Metric,C25076,1
100k,R2,R_0402_1005Metric,C25741,1
100n,"C1,C12,C6,C8,C9",C_0402_1005Metric,C1525,5
10u,"C10,C2,C3",C_0805_2012Metric,C15850,3
15k,R7,R_0402_1005Metric,C25756,1
1u,"C11,C4,C7",C_0402_1005Metric,C52923,3
200k,R3,R_0402_1005Metric,C25764,1
4.7k,"R4,R5",R_0402_1005Metric,C25900,2
4.7u,C5,C_0603_1608Metric,C19666,1
470k,"R10,R9",R_0603_1608Metric,C23178,2
CHG,D1,LED_0603_1608Metric,C2286,1
STM32G070CBT6,U1,LQFP-48_7x7mm_P0.5mm,C529338,1
SW_PUSH,"SW1,SW2,SW3,SW4,SW5,SW6,SW8,SW9",SW_SPST_TS-1088-xR020,C720477,8
TP4054,U3,SOT-23-5,C32574,1
XC6206P332MR,U2,SOT-23-3,C5446,1
